1st_T T_2024-12-04_raw
 
ForceDisplay	Rep	Set	timer	X	Y	Z	A	M
Low Viscosity	0	1	00:00:005	00.0731	03.4952	66.0000	088.801	003.496
Low Viscosity	0	1	00:00:012	00.0762	03.4900	66.0000	088.748	003.491
Low Viscosity	0	1	00:00:014	00.0762	03.4900	66.0000	088.748	003.491
Low Viscosity	0	1	00:00:017	00.0762	03.4900	66.0000	088.748	003.491
Low Viscosity	0	1	00:00:020	00.0762	03.4900	66.0000	088.748	003.491
Low Viscosity	0	1	00:00:024	00.0762	03.4900	66.0000	088.748	003.491
Low Viscosity	0	1	00:00:027	00.0819	03.5041	66.0000	088.661	003.505
Low Viscosity	0	1	00:00:030	00.0819	03.5041	66.0000	088.661	003.505
Low Viscosity	0	1	00:00:033	00.0819	03.5041	66.0000	088.661	003.505
Low Viscosity	0	1	00:00:036	00.0819	03.5041	66.0000	088.661	003.505
Low Viscosity	0	1	00:00:039	00.0819	03.5041	66.0000	088.661	003.505
Low Viscosity	0	1	00:00:043	00.0819	03.5041	66.0000	088.661	003.505
Low Viscosity	0	1	00:00:047	00.0873	03.4958	66.0000	088.569	003.497
Low Viscosity	0	1	00:00:050	00.0873	03.4958	66.0000	088.569	003.497
Low Viscosity	0	1	00:00:052	00.0873	03.4958	66.0000	088.569	003.497
Low Viscosity	0	1	00:00:055	00.0873	03.4958	66.0000	088.569	003.497
Low Viscosity	0	1	00:00:058	00.0873	03.4958	66.0000	088.569	003.497
Low Viscosity	0	1	00:00:061	00.0873	03.4958	66.0000	088.569	003.497
Low Viscosity	0	1	00:00:064	00.0873	03.4958	66.0000	088.569	003.497
Low Viscosity	0	1	00:00:067	00.0904	03.4913	66.0000	088.516	003.492
Low Viscosity	0	1	00:00:070	00.0904	03.4913	66.0000	088.516	003.492
Low Viscosity	0	1	00:00:073	00.0904	03.4913	66.0000	088.516	003.492
Low Viscosity	0	1	00:00:076	00.0904	03.4913	66.0000	088.516	003.492
Low Viscosity	0	1	00:00:079	00.0904	03.4913	66.0000	088.516	003.492
Low Viscosity	0	1	00:00:082	00.0904	03.4913	66.0000	088.516	003.492
Low Viscosity	0	1	00:00:086	00.0912	03.4902	66.0000	088.503	003.491
Low Viscosity	0	1	00:00:088	00.0912	03.4902	66.0000	088.503	003.491
Low Viscosity	0	1	00:00:091	00.0912	03.4902	66.0000	088.503	003.491
Low Viscosity	0	1	00:00:094	00.0912	03.4902	66.0000	088.503	003.491
Low Viscosity	0	1	00:00:098	00.0912	03.4902	66.0000	088.503	003.491
Low Viscosity	0	1	00:00:103	00.0912	03.4902	66.0000	088.503	003.491
Low Viscosity	0	1	00:00:107	00.0912	03.4902	66.0000	088.503	003.491
Low Viscosity	0	1	00:00:110	00.0912	03.4902	66.0000	088.503	003.491
Low Viscosity	0	1	00:00:113	00.0912	03.4902	66.0000	088.503	003.491
Low Viscosity	0	1	00:00:116	00.0912	03.4902	66.0000	088.503	003.491
Low Viscosity	0	1	00:00:119	00.0912	03.4902	66.0000	088.503	003.491
Low Viscosity	0	1	00:00:122	00.0912	03.4902	66.0000	088.503	003.491
Low Viscosity	0	1	00:00:129	00.1154	03.4902	66.0000	088.107	003.492
Low Viscosity	0	1	00:00:132	00.1154	03.4902	66.0000	088.107	003.492
Low Viscosity	0	1	00:00:135	00.1154	03.4902	66.0000	088.107	003.492
Low Viscosity	0	1	00:00:138	00.1154	03.4902	66.0000	088.107	003.492
Low Viscosity	0	1	00:00:141	00.1154	03.4902	66.0000	088.107	003.492
Low Viscosity	0	1	00:00:144	00.1154	03.4902	66.0000	088.107	003.492
Low Viscosity	0	1	00:00:148	00.1388	03.4913	66.0000	087.724	003.494
Low Viscosity	0	1	00:00:151	00.1388	03.4913	66.0000	087.724	003.494
Low Viscosity	0	1	00:00:154	00.1388	03.4913	66.0000	087.724	003.494
Low Viscosity	0	1	00:00:158	00.1388	03.4913	66.0000	087.724	003.494
Low Viscosity	0	1	00:00:161	00.1388	03.4913	66.0000	087.724	003.494
Low Viscosity	0	1	00:00:164	00.1388	03.4913	66.0000	087.724	003.494
Low Viscosity	0	1	00:00:167	00.1871	03.4913	66.0000	086.933	003.496
Low Viscosity	0	1	00:00:170	00.1871	03.4913	66.0000	086.933	003.496
Low Viscosity	0	1	00:00:173	00.1871	03.4913	66.0000	086.933	003.496
Low Viscosity	0	1	00:00:176	00.1871	03.4913	66.0000	086.933	003.496
Low Viscosity	0	1	00:00:179	00.1871	03.4913	66.0000	086.933	003.496
Low Viscosity	0	1	00:00:183	00.1871	03.4913	66.0000	086.933	003.496
Low Viscosity	0	1	00:00:187	00.2354	03.4913	66.0000	086.142	003.499
Low Viscosity	0	1	00:00:191	00.2354	03.4913	66.0000	086.142	003.499
Low Viscosity	0	1	00:00:195	00.2354	03.4913	66.0000	086.142	003.499
Low Viscosity	0	1	00:00:199	00.2354	03.4913	66.0000	086.142	003.499
Low Viscosity	0	1	00:00:202	00.2354	03.4913	66.0000	086.142	003.499
Low Viscosity	0	1	00:00:207	00.2837	03.4913	66.0000	085.354	003.503
Low Viscosity	0	1	00:00:211	00.2837	03.4913	66.0000	085.354	003.503
Low Viscosity	0	1	00:00:215	00.2837	03.4913	66.0000	085.354	003.503
Low Viscosity	0	1	00:00:218	00.2837	03.4913	66.0000	085.354	003.503
Low Viscosity	0	1	00:00:222	00.2837	03.4913	66.0000	085.354	003.503
Low Viscosity	0	1	00:00:227	00.3564	03.5141	66.0000	084.208	003.532
Low Viscosity	0	1	00:00:231	00.3564	03.5141	66.0000	084.208	003.532
Low Viscosity	0	1	00:00:234	00.3564	03.5141	66.0000	084.208	003.532
Low Viscosity	0	1	00:00:238	00.3564	03.5141	66.0000	084.208	003.532
Low Viscosity	0	1	00:00:242	00.3564	03.5141	66.0000	084.208	003.532
Low Viscosity	0	1	00:00:247	00.3812	03.5828	66.0000	083.927	003.603
Low Viscosity	0	1	00:00:252	00.3812	03.5828	66.0000	083.927	003.603
Low Viscosity	0	1	00:00:259	00.3812	03.5828	66.0000	083.927	003.603
Low Viscosity	0	1	00:00:263	00.3812	03.5828	66.0000	083.927	003.603
Low Viscosity	0	1	00:00:268	00.3828	03.6959	66.0000	084.086	003.716
Low Viscosity	0	1	00:00:271	00.3828	03.6959	66.0000	084.086	003.716
Low Viscosity	0	1	00:00:275	00.3828	03.6959	66.0000	084.086	003.716
Low Viscosity	0	1	00:00:278	00.3828	03.6959	66.0000	084.086	003.716
Low Viscosity	0	1	00:00:281	00.3828	03.6959	66.0000	084.086	003.716
Low Viscosity	0	1	00:00:284	00.3828	03.6959	66.0000	084.086	003.716
Low Viscosity	0	1	00:00:288	00.3133	03.7841	66.0000	085.267	003.797
Low Viscosity	0	1	00:00:291	00.3133	03.7841	66.0000	085.267	003.797
Low Viscosity	0	1	00:00:294	00.3133	03.7841	66.0000	085.267	003.797
Low Viscosity	0	1	00:00:296	00.3133	03.7841	66.0000	085.267	003.797
Low Viscosity	0	1	00:00:299	00.3133	03.7841	66.0000	085.267	003.797
Low Viscosity	0	1	00:00:302	00.3133	03.7841	66.0000	085.267	003.797
Low Viscosity	0	1	00:00:306	00.1717	03.8494	66.0000	087.446	003.853
Low Viscosity	0	1	00:00:308	00.1717	03.8494	66.0000	087.446	003.853
Low Viscosity	0	1	00:00:311	00.1717	03.8494	66.0000	087.446	003.853
Low Viscosity	0	1	00:00:314	00.1717	03.8494	66.0000	087.446	003.853
Low Viscosity	0	1	00:00:317	00.1717	03.8494	66.0000	087.446	003.853
Low Viscosity	0	1	00:00:320	00.1717	03.8494	66.0000	087.446	003.853
Low Viscosity	0	1	00:00:323	00.1717	03.8494	66.0000	087.446	003.853
Low Viscosity	0	1	00:00:327	-00.1851	03.8681	66.0000	092.740	003.873
Low Viscosity	0	1	00:00:329	-00.1851	03.8681	66.0000	092.740	003.873
Low Viscosity	0	1	00:00:332	-00.1851	03.8681	66.0000	092.740	003.873
Low Viscosity	0	1	00:00:335	-00.1851	03.8681	66.0000	092.740	003.873
Low Viscosity	0	1	00:00:338	-00.1851	03.8681	66.0000	092.740	003.873
Low Viscosity	0	1	00:00:341	-00.1851	03.8681	66.0000	092.740	003.873
Low Viscosity	0	1	00:00:344	-00.1851	03.8681	66.0000	092.740	003.873
Low Viscosity	0	1	00:00:348	-00.5934	03.8453	66.0000	098.773	003.891
Low Viscosity	0	1	00:00:350	-00.5934	03.8453	66.0000	098.773	003.891
Low Viscosity	0	1	00:00:354	-00.5934	03.8453	66.0000	098.773	003.891
Low Viscosity	0	1	00:00:356	-00.5934	03.8453	66.0000	098.773	003.891
Low Viscosity	0	1	00:00:359	-00.5934	03.8453	66.0000	098.773	003.891
Low Viscosity	0	1	00:00:362	-00.5934	03.8453	66.0000	098.773	003.891
Low Viscosity	0	1	00:00:366	-01.0558	03.7581	66.0000	105.692	003.904
Low Viscosity	0	1	00:00:370	-01.0558	03.7581	66.0000	105.692	003.904
Low Viscosity	0	1	00:00:374	-01.0558	03.7581	66.0000	105.692	003.904
Low Viscosity	0	1	00:00:378	-01.0558	03.7581	66.0000	105.692	003.904
Low Viscosity	0	1	00:00:381	-01.0558	03.7581	66.0000	105.692	003.904
Low Viscosity	0	1	00:00:386	-01.5582	03.6125	66.0000	113.333	003.934
Low Viscosity	0	1	00:00:389	-01.5582	03.6125	66.0000	113.333	003.934
Low Viscosity	0	1	00:00:393	-01.5582	03.6125	66.0000	113.333	003.934
Low Viscosity	0	1	00:00:396	-01.5582	03.6125	66.0000	113.333	003.934
Low Viscosity	0	1	00:00:404	-01.5582	03.6125	66.0000	113.333	003.934
Low Viscosity	0	1	00:00:411	-02.1634	03.2084	66.0000	123.992	003.870
Low Viscosity	0	1	00:00:417	-02.1634	03.2084	66.0000	123.992	003.870
Low Viscosity	0	1	00:00:423	-02.1634	03.2084	66.0000	123.992	003.870
Low Viscosity	0	1	00:00:428	-02.5052	02.6646	66.0000	133.234	003.657
Low Viscosity	0	1	00:00:431	-02.5052	02.6646	66.0000	133.234	003.657
Low Viscosity	0	1	00:00:434	-02.5052	02.6646	66.0000	133.234	003.657
Low Viscosity	0	1	00:00:438	-02.5052	02.6646	66.0000	133.234	003.657
Low Viscosity	0	1	00:00:440	-02.5052	02.6646	66.0000	133.234	003.657
Low Viscosity	0	1	00:00:443	-02.5052	02.6646	66.0000	133.234	003.657
Low Viscosity	0	1	00:00:448	-02.5966	01.9048	66.0000	143.738	003.220
Low Viscosity	0	1	00:00:451	-02.5966	01.9048	66.0000	143.738	003.220
Low Viscosity	0	1	00:00:454	-02.5966	01.9048	66.0000	143.738	003.220
Low Viscosity	0	1	00:00:457	-02.5966	01.9048	66.0000	143.738	003.220
Low Viscosity	0	1	00:00:460	-02.5966	01.9048	66.0000	143.738	003.220
Low Viscosity	0	1	00:00:462	-02.5966	01.9048	66.0000	143.738	003.220
