1st_t t_2024-12-02_raw
 
ForceDisplay	Rep	Set	timer	X	Y	Z	A	M
Low Viscosity	1	1	00:00:482	02.0000	10.7153	66.0000	079.427	010.900
Low Viscosity	1	1	00:00:489	02.0000	10.7153	66.0000	079.427	010.900
Low Viscosity	1	1	00:00:498	02.0000	10.9153	66.0000	079.617	011.097
Low Viscosity	1	1	00:00:507	02.0000	10.9153	66.0000	079.617	011.097
Low Viscosity	1	1	00:00:517	02.0000	11.1152	66.0000	079.800	011.294
Low Viscosity	1	1	00:00:526	02.0000	11.1152	66.0000	079.800	011.294
Low Viscosity	1	1	00:00:534	02.0000	11.1152	66.0000	079.800	011.294
Low Viscosity	1	1	00:00:543	02.0000	11.3152	66.0000	079.976	011.491
Low Viscosity	1	1	00:00:552	02.0000	11.3152	66.0000	079.976	011.491
Low Viscosity	1	1	00:00:562	02.0000	11.5152	66.0000	080.147	011.688
Low Viscosity	1	1	00:00:571	02.0000	11.5152	66.0000	080.147	011.688
Low Viscosity	1	1	00:00:582	02.0000	11.7152	66.0000	080.312	011.885
Low Viscosity	1	1	00:00:591	02.0000	11.7152	66.0000	080.312	011.885
Low Viscosity	1	1	00:00:602	02.0000	11.9152	66.0000	080.472	012.082
Low Viscosity	1	1	00:00:612	02.0000	11.9152	66.0000	080.472	012.082
Low Viscosity	1	1	00:00:624	02.0000	12.1152	66.0000	080.626	012.279
Low Viscosity	1	1	00:00:634	02.0000	12.1152	66.0000	080.626	012.279
Low Viscosity	1	1	00:00:644	02.0000	12.3152	66.0000	080.776	012.477
Low Viscosity	1	1	00:00:654	02.0000	12.3152	66.0000	080.776	012.477
Low Viscosity	1	1	00:00:663	02.0000	12.5152	66.0000	080.921	012.674
Low Viscosity	1	1	00:00:671	02.0000	12.5152	66.0000	080.921	012.674
Low Viscosity	1	1	00:00:681	02.0000	12.7152	66.0000	081.061	012.872
Low Viscosity	1	1	00:00:689	02.0000	12.7152	66.0000	081.061	012.872
Low Viscosity	1	1	00:00:698	02.0000	12.9152	66.0000	081.197	013.069
Low Viscosity	1	1	00:00:707	02.0000	12.9152	66.0000	081.197	013.069
Low Viscosity	1	1	00:00:716	02.0000	13.1152	66.0000	081.330	013.267
Low Viscosity	1	1	00:00:725	02.0000	13.1152	66.0000	081.330	013.267
Low Viscosity	1	1	00:00:734	02.0000	13.1152	66.0000	081.330	013.267
Low Viscosity	1	1	00:00:743	02.0000	13.3152	66.0000	081.458	013.465
Low Viscosity	1	1	00:00:753	02.0000	13.3152	66.0000	081.458	013.465
Low Viscosity	1	1	00:00:763	02.0000	13.5152	66.0000	081.582	013.662
Low Viscosity	1	1	00:00:771	02.0000	13.5152	66.0000	081.582	013.662
Low Viscosity	1	1	00:00:781	02.0000	13.7152	66.0000	081.703	013.860
Low Viscosity	1	1	00:00:789	02.0000	13.7152	66.0000	081.703	013.860
Low Viscosity	1	1	00:00:798	02.0000	13.9152	66.0000	081.821	014.058
Low Viscosity	1	1	00:00:805	02.0000	13.9152	66.0000	081.821	014.058
Low Viscosity	1	1	00:00:812	02.0000	13.9152	66.0000	081.821	014.058
